tag,band,config,shape_full,shape_trim,exptime,nexp,rescale_k,scale_src,scale_recovered,sky_src,sky_recovered,read_noise,avg_to_trim_a,avg_to_trim_b,resid_mean,resid_std,n_saturated,rescale_max_rel,dotrim_exact
m31bJ20,J,20,3456x3456,3232x3232,3600.0,86,11967169.999807522,1262.3944186046513,1262.3945930246728,159.06976744186048,159.06971089545755,15.0,15107288614.25004,159.06976744186048,-2.767381596622668e-05,0.22383239979477265,0,5.9596961581164815e-08,True
m31bH20,H,20,3456x3456,3232x3232,3600.0,157,11778350.999400713,822.96,822.9601531029431,724.5859872611464,724.5859716121478,15.0,9693111738.46681,724.5859872611464,3.2134715367413934e-05,0.19969207098450453,0,5.962948716142486e-08,True
m31bK20,K,20,3456x3456,3232x3232,3600.0,55,11783523.000264784,1251.7330909090908,1251.7307305137342,3141.818181818182,3141.818953839272,15.0,14749825666.919802,3141.818181818182,6.321415000175775e-06,1.087682784722489,1,5.96026896661868e-08,True
m31bJ30,J,30,5000x5000,4848x4848,3600.0,183,25080418.00000993,1334.8249180327869,1334.825252407623,70.81967213114754,70.81965506807965,15.0,33477966901.09129,70.81967213114754,9.421458777473234e-06,0.07290054380198752,0,5.9585000541319315e-08,True
m31bH30,H,30,5000x5000,4848x4848,3600.0,347,25091717.999711856,837.7822478386167,837.7821266517999,307.0893371757925,307.08937011089836,15.0,21021395907.93128,307.0893371757925,1.546439712765927e-05,0.06010728317116631,1,5.958767674708747e-08,True
m31bK30,K,30,5000x5000,4848x4848,3600.0,148,25378737.999770846,1046.636756756757,1046.6366544438513,1094.5945945945946,1094.594631020918,15.0,26562320030.659626,1094.5945945945946,2.1550682812502183e-05,0.24119096128048576,1,5.960845198043552e-08,True
m31bJ50,J,50,4096x4096,4040x4040,3600.0,444,16412155.999704381,1528.234864864865,1528.2312116412493,34.054054054054056,34.0541682262959,15.0,25081629006.349308,34.054054054054056,-4.109160330976665e-07,0.02066710511792267,1,5.957736846016325e-08,True
m31bH50,H,50,4096x4096,4040x4040,3600.0,850,16099939.000492362,950.0336470588235,950.0333837557622,146.96470588235294,146.96471673046958,15.0,15295483766.062347,146.96470588235294,-4.451505860352493e-06,0.016854998590858556,1,5.961223124105588e-08,True
m31bK50,K,50,4096x4096,4040x4040,3600.0,367,16286643.999112094,1172.4356403269755,1172.4341594354478,517.9291553133515,517.9292510899198,15.0,19095041885.87648,517.9291553133515,-1.2444907198735057e-06,0.06669776075265674,1,5.962172633993854e-08,True
m31bJ100,J,100,4096x4096,4040x4040,3600.0,609,16456785.000790993,4456.725517241379,4456.713070830395,24.82758620689655,24.82768590198227,15.0,73343373644.7804,24.82758620689655,1.2785472874460452e-06,0.012829427628027405,1,5.96430190543598e-08,True
m31bH100,H,100,4096x4096,4040x4040,3600.0,1783,16646441.000833608,1811.618126752664,1811.6179889724992,70.0616937745373,70.06169251320983,15.0,30156994263.028923,70.0616937745373,-3.39581669307198e-06,0.005561421049738537,0,5.960937909672153e-08,True
m31bK100,K,100,4096x4096,4040x4040,3600.0,971,16522073.99984492,1772.5398970133886,1772.5396008468138,195.75695159629248,195.75695153177267,15.0,29286035346.132698,195.75695159629248,-5.139780544957017e-06,0.01548870496240109,0,5.956939668876676e-08,True
